
=== 2026-05-27T21:02:13.450305+00:00 golang pid=718789 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:02:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:02:14 PM  1000    718789    9.00   78.00    0.00    0.00   87.00    22  proxy-go
02:02:15 PM  1000    718789   11.00   86.00    0.00    0.00   97.00    22  proxy-go
02:02:16 PM  1000    718789   10.00   78.00    0.00    0.00   88.00    22  proxy-go
02:02:17 PM  1000    718789   12.00   86.00    0.00    0.00   98.00    22  proxy-go
02:02:18 PM  1000    718789   10.00   83.00    0.00    0.00   93.00    22  proxy-go
02:02:19 PM  1000    718789   10.00   81.00    0.00    0.00   91.00    22  proxy-go
02:02:20 PM  1000    718789   12.00   84.00    0.00    0.00   96.00    22  proxy-go
02:02:21 PM  1000    718789   12.00   84.00    0.00    0.00   96.00    22  proxy-go
02:02:22 PM  1000    718789   11.00   83.00    0.00    0.00   94.00    22  proxy-go
02:02:23 PM  1000    718789   12.00   82.00    0.00    0.00   94.00    22  proxy-go
02:02:24 PM  1000    718789   10.00   77.00    0.00    0.00   87.00    22  proxy-go
02:02:25 PM  1000    718789    7.00   79.00    0.00    0.00   86.00    22  proxy-go
02:02:26 PM  1000    718789   10.00   81.00    0.00    0.00   91.00    22  proxy-go
02:02:27 PM  1000    718789   12.00   87.00    0.00    0.00   99.00    22  proxy-go
02:02:28 PM  1000    718789   10.00   94.00    0.00    0.00  104.00    22  proxy-go
02:02:29 PM  1000    718789   13.00   85.00    0.00    0.00   98.00    22  proxy-go
02:02:30 PM  1000    718789   11.00   82.00    0.00    0.00   93.00    22  proxy-go
02:02:31 PM  1000    718789   11.00   79.00    0.00    0.00   90.00    22  proxy-go
02:02:32 PM  1000    718789   13.00   86.00    0.00    0.00   99.00    22  proxy-go
02:02:33 PM  1000    718789   13.00   82.00    0.00    0.00   95.00    22  proxy-go
02:02:34 PM  1000    718789   11.00   80.00    0.00    0.00   91.00    22  proxy-go
02:02:35 PM  1000    718789   11.00   84.00    0.00    0.00   95.00    22  proxy-go
02:02:36 PM  1000    718789   10.00   80.00    0.00    0.00   90.00    22  proxy-go
02:02:37 PM  1000    718789   12.00   86.00    0.00    0.00   98.00    22  proxy-go
02:02:38 PM  1000    718789   12.00   82.00    0.00    0.00   94.00    22  proxy-go
02:02:39 PM  1000    718789   13.00   86.00    0.00    0.00   99.00    22  proxy-go
02:02:40 PM  1000    718789   12.00   83.00    0.00    0.00   95.00    22  proxy-go
02:02:41 PM  1000    718789   13.00   88.00    0.00    0.00  101.00    22  proxy-go
02:02:42 PM  1000    718789    9.00   79.00    0.00    0.00   88.00    22  proxy-go
02:02:43 PM  1000    718789    9.00   77.00    0.00    0.00   86.00    22  proxy-go
