
=== 2026-05-27T21:00:42.142177+00:00 tokio-splice2 pid=717482 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:00:42 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:00:43 PM  1000    717482    8.00   79.00    0.00    0.00   87.00     6  proxy
02:00:44 PM  1000    717482   12.00   99.00    0.00    0.00  111.00     6  proxy
02:00:45 PM  1000    717482   12.00   99.00    0.00    0.00  111.00     6  proxy
02:00:46 PM  1000    717482   10.00   99.00    0.00    0.00  109.00     6  proxy
02:00:47 PM  1000    717482   11.00   99.00    0.00    0.00  110.00     6  proxy
02:00:48 PM  1000    717482   10.00   99.00    0.00    0.00  109.00     6  proxy
02:00:49 PM  1000    717482   11.00   99.00    0.00    0.00  110.00     6  proxy
02:00:50 PM  1000    717482    8.00  101.00    0.00    0.00  109.00     6  proxy
02:00:51 PM  1000    717482   10.00  100.00    0.00    0.00  110.00     6  proxy
02:00:52 PM  1000    717482   13.00   98.00    0.00    0.00  111.00     6  proxy
02:00:53 PM  1000    717482   11.00   99.00    0.00    0.00  110.00     6  proxy
02:00:54 PM  1000    717482   11.00  100.00    0.00    0.00  111.00     6  proxy
02:00:55 PM  1000    717482   12.00   99.00    0.00    0.00  111.00     6  proxy
02:00:56 PM  1000    717482   10.00   99.00    0.00    0.00  109.00     6  proxy
02:00:57 PM  1000    717482   10.00  100.00    0.00    0.00  110.00     6  proxy
02:00:58 PM  1000    717482   11.00   99.00    0.00    0.00  110.00     6  proxy
02:00:59 PM  1000    717482   10.00  100.00    0.00    0.00  110.00     6  proxy
02:01:00 PM  1000    717482   12.00   99.00    0.00    0.00  111.00     6  proxy
02:01:01 PM  1000    717482   11.00   98.00    0.00    0.00  109.00     6  proxy
02:01:02 PM  1000    717482   11.00   99.00    0.00    0.00  110.00     6  proxy
02:01:03 PM  1000    717482   11.00  100.00    0.00    0.00  111.00     6  proxy
02:01:04 PM  1000    717482   10.00  100.00    0.00    0.00  110.00     6  proxy
02:01:05 PM  1000    717482   12.00   99.00    0.00    0.00  111.00     6  proxy
02:01:06 PM  1000    717482   11.00  100.00    0.00    0.00  111.00     6  proxy
02:01:07 PM  1000    717482   12.00   99.00    0.00    0.00  111.00     6  proxy
02:01:08 PM  1000    717482   10.00  100.00    0.00    0.00  110.00     6  proxy
02:01:09 PM  1000    717482   10.00  102.00    0.00    0.00  112.00     6  proxy
02:01:10 PM  1000    717482   10.00  100.00    0.00    0.00  110.00     6  proxy
02:01:11 PM  1000    717482    9.00  100.00    0.00    0.00  109.00     6  proxy
02:01:12 PM  1000    717482   11.00  101.00    0.00    0.00  112.00     6  proxy
Average:     1000    717482   10.67   98.83    0.00    0.00  109.50     -  proxy

=== 2026-05-27T21:01:27.796406+00:00 tokio-splice2 pid=718066 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:01:27 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:01:28 PM  1000    718066   10.00   94.00    0.00    0.00  104.00     6  proxy
02:01:29 PM  1000    718066    9.00  100.00    0.00    0.00  109.00     6  proxy
02:01:30 PM  1000    718066   11.00   99.00    0.00    0.00  110.00     6  proxy
02:01:31 PM  1000    718066   12.00   98.00    0.00    0.00  110.00     6  proxy
02:01:32 PM  1000    718066   11.00   98.00    0.00    0.00  109.00     6  proxy
02:01:33 PM  1000    718066    8.00  101.00    0.00    0.00  109.00     6  proxy
02:01:34 PM  1000    718066   10.00  100.00    0.00    0.00  110.00     6  proxy
02:01:35 PM  1000    718066   11.00   99.00    0.00    0.00  110.00     6  proxy
02:01:36 PM  1000    718066   10.00   99.00    0.00    0.00  109.00     6  proxy
02:01:37 PM  1000    718066   10.00  100.00    0.00    0.00  110.00     6  proxy
02:01:38 PM  1000    718066    9.00  102.00    0.00    0.00  111.00     6  proxy
02:01:39 PM  1000    718066   11.00   99.00    0.00    0.00  110.00     6  proxy
02:01:40 PM  1000    718066   10.00   99.00    0.00    0.00  109.00     6  proxy
02:01:41 PM  1000    718066   10.00  101.00    0.00    0.00  111.00     6  proxy
